action,index,method,norm_cost,station_name,original,new
match_no_change,0,cost_center,,,,
match_no_change,1,cost_center,,,,
match_no_change,2,cost_center,,,,
match_no_change,3,cost_center,,,,
match_no_change,4,cost_center,,,,
match_no_change,5,cost_center,,,,
match_no_change,6,cost_center,,,,
match_no_change,7,cost_center,,,,
match_no_change,8,cost_center,,,,
match_no_change,9,cost_center,,,,
match_no_change,10,cost_center,,,,
match_no_change,11,cost_center,,,,
match_no_change,12,cost_center,,,,
match_no_change,13,cost_center,,,,
match_no_change,14,cost_center,,,,
match_no_change,15,cost_center,,,,
match_no_change,16,cost_center,,,,
match_no_change,17,cost_center,,,,
match_no_change,18,cost_center,,,,
match_no_change,19,cost_center,,,,
match_no_change,20,cost_center,,,,
match_no_change,21,cost_center,,,,
match_no_change,22,cost_center,,,,
match_no_change,23,cost_center,,,,
match_no_change,24,cost_center,,,,
match_no_change,357,cost_center,,,,
match_no_change,358,cost_center,,,,
match_no_change,359,cost_center,,,,
match_no_change,360,cost_center,,,,
match_no_change,361,cost_center,,,,
match_no_change,362,cost_center,,,,
match_no_change,363,cost_center,,,,
match_no_change,364,cost_center,,,,
match_no_change,365,cost_center,,,,
match_no_change,366,cost_center,,,,
match_no_change,367,cost_center,,,,
match_no_change,368,cost_center,,,,
match_no_change,369,cost_center,,,,
match_no_change,370,cost_center,,,,
match_no_change,371,cost_center,,,,
match_no_change,372,cost_center,,,,
match_no_change,373,cost_center,,,,
match_no_change,374,cost_center,,,,
match_no_change,375,cost_center,,,,
match_no_change,376,cost_center,,,,
match_no_change,377,cost_center,,,,
match_no_change,378,cost_center,,,,
match_no_change,379,cost_center,,,,
match_no_change,380,cost_center,,,,
match_no_change,381,cost_center,,,,
match_no_change,382,cost_center,,,,
match_no_change,383,cost_center,,,,
match_no_change,384,cost_center,,,,
match_no_change,385,cost_center,,,,
match_no_change,386,cost_center,,,,
match_no_change,387,cost_center,,,,
match_no_change,388,cost_center,,,,
match_no_change,389,cost_center,,,,
match_no_change,390,cost_center,,,,
match_no_change,391,cost_center,,,,
match_no_change,392,cost_center,,,,
match_no_change,393,cost_center,,,,
match_no_change,394,cost_center,,,,
match_no_change,395,cost_center,,,,
match_no_change,396,cost_center,,,,
match_no_change,397,cost_center,,,,
match_no_change,398,cost_center,,,,
match_no_change,399,cost_center,,,,
match_no_change,400,cost_center,,,,
match_no_change,401,cost_center,,,,
match_no_change,402,cost_center,,,,
match_no_change,403,cost_center,,,,
match_no_change,404,cost_center,,,,
match_no_change,405,cost_center,,,,
match_no_change,406,cost_center,,,,
match_no_change,407,cost_center,,,,
match_no_change,408,cost_center,,,,
match_no_change,409,cost_center,,,,
match_no_change,410,cost_center,,,,
match_no_change,411,cost_center,,,,
match_no_change,412,cost_center,,,,
match_no_change,413,cost_center,,,,
match_no_change,414,cost_center,,,,
match_no_change,415,cost_center,,,,
match_no_change,416,cost_center,,,,
match_no_change,417,cost_center,,,,
match_no_change,418,cost_center,,,,
match_no_change,419,cost_center,,,,
match_no_change,420,cost_center,,,,
match_no_change,421,cost_center,,,,
match_no_change,422,cost_center,,,,
match_no_change,423,cost_center,,,,
match_no_change,424,cost_center,,,,
no_match,425,,1110272,,,
no_match,426,,1110272,,,
no_match,427,,1110272,,,
no_match,428,,1110272,,,
no_match,429,,1110272,,,
no_match,430,,1110272,,,
no_match,431,,1110272,,,
no_match,432,,1110272,,,
no_match,433,,1110272,,,
no_match,434,,1110272,,,
no_match,435,,1110272,,,
no_match,436,,1110272,,,
no_match,437,,1110272,,,
no_match,438,,1110272,,,
no_match,439,,1110272,,,
no_match,440,,1110272,,,
no_match,441,,1110272,,,
no_match,442,,1110272,,,
no_match,443,,1110272,,,
no_match,444,,1110272,,,
no_match,445,,1110272,,,
no_match,446,,1110272,,,
no_match,447,,1110272,,,
no_match,448,,1110272,,,
no_match,449,,1110272,,,
match_no_change,450,cost_center,,,,
match_no_change,451,cost_center,,,,
match_no_change,452,cost_center,,,,
match_no_change,453,cost_center,,,,
match_no_change,454,cost_center,,,,
match_no_change,455,cost_center,,,,
match_no_change,456,cost_center,,,,
match_no_change,457,cost_center,,,,
match_no_change,458,cost_center,,,,
match_no_change,459,cost_center,,,,
match_no_change,460,cost_center,,,,
match_no_change,461,cost_center,,,,
match_no_change,462,cost_center,,,,
match_no_change,463,cost_center,,,,
match_no_change,464,cost_center,,,,
match_no_change,465,cost_center,,,,
match_no_change,466,cost_center,,,,
match_no_change,467,cost_center,,,,
match_no_change,468,cost_center,,,,
match_no_change,469,cost_center,,,,
match_no_change,470,cost_center,,,,
match_no_change,471,cost_center,,,,
match_no_change,472,cost_center,,,,
match_no_change,473,cost_center,,,,
match_no_change,474,cost_center,,,,
no_match,475,,1110231,,,
no_match,476,,1110231,,,
no_match,477,,1110231,,,
no_match,478,,1110231,,,
no_match,479,,1110231,,,
no_match,480,,1110231,,,
no_match,481,,1110231,,,
no_match,482,,1110231,,,
no_match,483,,1110231,,,
no_match,484,,1110231,,,
no_match,485,,1110231,,,
no_match,486,,1110231,,,
no_match,487,,1110231,,,
no_match,488,,1110231,,,
no_match,489,,1110231,,,
no_match,490,,1110231,,,
no_match,491,,1110231,,,
no_match,492,,1110231,,,
no_match,493,,1110231,,,
no_match,494,,1110231,,,
no_match,495,,1110231,,,
no_match,496,,1110231,,,
no_match,497,,1110231,,,
no_match,498,,1110231,,,
no_match,499,,1110231,,,
no_match,500,,1110124,,,
no_match,501,,1110124,,,
no_match,502,,1110124,,,
no_match,503,,1110124,,,
no_match,504,,1110124,,,
no_match,505,,1110124,,,
no_match,506,,1110124,,,
no_match,507,,1110124,,,
no_match,508,,1110124,,,
no_match,509,,1110124,,,
no_match,510,,1110124,,,
no_match,511,,1110124,,,
no_match,512,,1110124,,,
no_match,513,,1110124,,,
no_match,514,,1110124,,,
no_match,515,,1110124,,,
no_match,516,,1110124,,,
no_match,517,,1110124,,,
no_match,518,,1110124,,,
no_match,519,,1110124,,,
no_match,520,,1110124,,,
no_match,521,,1110124,,,
no_match,522,,1110124,,,
no_match,523,,1110124,,,
no_match,524,,1110124,,,
no_match,525,,1110040,,,
no_match,526,,1110040,,,
no_match,527,,1110040,,,
no_match,528,,1110040,,,
no_match,529,,1110040,,,
no_match,530,,1110040,,,
no_match,531,,1110040,,,
no_match,532,,1110040,,,
no_match,533,,1110040,,,
no_match,534,,1110040,,,
no_match,535,,1110040,,,
no_match,536,,1110040,,,
no_match,537,,1110040,,,
no_match,538,,1110040,,,
no_match,539,,1110040,,,
no_match,540,,1110040,,,
no_match,541,,1110040,,,
no_match,542,,1110040,,,
no_match,543,,1110040,,,
no_match,544,,1110040,,,
no_match,545,,1110040,,,
no_match,546,,1110040,,,
no_match,547,,1110040,,,
no_match,548,,1110040,,,
no_match,549,,1110040,,,
no_match,550,,1110043,,,
no_match,551,,1110043,,,
no_match,552,,1110043,,,
no_match,553,,1110043,,,
no_match,554,,1110043,,,
no_match,555,,1110043,,,
no_match,556,,1110043,,,
no_match,557,,1110043,,,
no_match,558,,1110043,,,
no_match,559,,1110043,,,
no_match,560,,1110043,,,
no_match,561,,1110043,,,
no_match,562,,1110043,,,
no_match,563,,1110043,,,
no_match,564,,1110043,,,
no_match,565,,1110043,,,
no_match,566,,1110043,,,
no_match,567,,1110043,,,
no_match,568,,1110043,,,
no_match,569,,1110043,,,
no_match,570,,1110043,,,
no_match,571,,1110043,,,
no_match,572,,1110043,,,
no_match,573,,1110043,,,
no_match,574,,1110043,,,
no_match,575,,1110064,,,
no_match,576,,1110064,,,
no_match,577,,1110064,,,
no_match,578,,1110064,,,
no_match,579,,1110064,,,
no_match,580,,1110064,,,
no_match,581,,1110064,,,
no_match,582,,1110064,,,
no_match,583,,1110064,,,
no_match,584,,1110064,,,
no_match,585,,1110064,,,
no_match,586,,1110064,,,
no_match,587,,1110064,,,
no_match,588,,1110064,,,
no_match,589,,1110064,,,
no_match,590,,1110064,,,
no_match,591,,1110064,,,
no_match,592,,1110064,,,
no_match,593,,1110064,,,
no_match,594,,1110064,,,
no_match,595,,1110064,,,
no_match,596,,1110064,,,
no_match,597,,1110064,,,
no_match,598,,1110064,,,
no_match,599,,1110064,,,
match_no_change,600,cost_center,,,,
match_no_change,601,cost_center,,,,
match_no_change,602,cost_center,,,,
match_no_change,603,cost_center,,,,
match_no_change,604,cost_center,,,,
match_no_change,605,cost_center,,,,
match_no_change,606,cost_center,,,,
match_no_change,607,cost_center,,,,
match_no_change,608,cost_center,,,,
match_no_change,609,cost_center,,,,
match_no_change,610,cost_center,,,,
match_no_change,611,cost_center,,,,
match_no_change,612,cost_center,,,,
match_no_change,613,cost_center,,,,
match_no_change,614,cost_center,,,,
match_no_change,615,cost_center,,,,
match_no_change,616,cost_center,,,,
match_no_change,617,cost_center,,,,
match_no_change,618,cost_center,,,,
match_no_change,619,cost_center,,,,
match_no_change,620,cost_center,,,,
match_no_change,621,cost_center,,,,
match_no_change,622,cost_center,,,,
match_no_change,623,cost_center,,,,
match_no_change,624,cost_center,,,,
no_match,625,,1110467,,,
no_match,626,,1110467,,,
no_match,627,,1110467,,,
no_match,628,,1110467,,,
no_match,629,,1110467,,,
no_match,630,,1110467,,,
no_match,631,,1110467,,,
no_match,632,,1110467,,,
no_match,633,,1110467,,,
no_match,634,,1110467,,,
no_match,635,,1110467,,,
no_match,636,,1110467,,,
no_match,637,,1110467,,,
no_match,638,,1110467,,,
no_match,639,,1110467,,,
no_match,640,,1110467,,,
no_match,641,,1110467,,,
no_match,642,,1110467,,,
no_match,643,,1110467,,,
no_match,644,,1110467,,,
no_match,645,,1110467,,,
no_match,646,,1110467,,,
no_match,647,,1110467,,,
no_match,648,,1110467,,,
no_match,649,,1110467,,,
no_match,650,,1110496,,,
no_match,651,,1110496,,,
no_match,652,,1110496,,,
no_match,653,,1110496,,,
no_match,654,,1110496,,,
no_match,655,,1110496,,,
no_match,656,,1110496,,,
no_match,657,,1110496,,,
no_match,658,,1110496,,,
no_match,659,,1110496,,,
no_match,660,,1110496,,,
no_match,661,,1110496,,,
no_match,662,,1110496,,,
no_match,663,,1110496,,,
no_match,664,,1110496,,,
no_match,665,,1110496,,,
no_match,666,,1110496,,,
no_match,667,,1110496,,,
no_match,668,,1110496,,,
no_match,669,,1110496,,,
no_match,670,,1110496,,,
no_match,671,,1110496,,,
no_match,672,,1110496,,,
no_match,673,,1110496,,,
no_match,674,,1110496,,,
no_match,675,,1110267,,,
no_match,676,,1110267,,,
no_match,677,,1110267,,,
no_match,678,,1110267,,,
no_match,679,,1110267,,,
no_match,680,,1110267,,,
no_match,681,,1110267,,,
no_match,682,,1110267,,,
no_match,683,,1110267,,,
no_match,684,,1110267,,,
no_match,685,,1110267,,,
no_match,686,,1110267,,,
no_match,687,,1110267,,,
no_match,688,,1110267,,,
no_match,689,,1110267,,,
no_match,690,,1110267,,,
no_match,691,,1110267,,,
no_match,692,,1110267,,,
no_match,693,,1110267,,,
no_match,694,,1110267,,,
no_match,695,,1110267,,,
no_match,696,,1110267,,,
no_match,697,,1110267,,,
no_match,698,,1110267,,,
no_match,699,,1110267,,,
no_match,700,,1110269,,,
no_match,701,,1110269,,,
no_match,702,,1110269,,,
no_match,703,,1110269,,,
no_match,704,,1110269,,,
no_match,705,,1110269,,,
no_match,706,,1110269,,,
no_match,707,,1110269,,,
no_match,708,,1110269,,,
no_match,709,,1110269,,,
no_match,710,,1110269,,,
no_match,711,,1110269,,,
no_match,712,,1110269,,,
no_match,713,,1110269,,,
no_match,714,,1110269,,,
no_match,715,,1110269,,,
no_match,716,,1110269,,,
no_match,717,,1110269,,,
no_match,718,,1110269,,,
no_match,719,,1110269,,,
no_match,720,,1110269,,,
no_match,721,,1110269,,,
no_match,722,,1110269,,,
no_match,723,,1110269,,,
no_match,724,,1110269,,,
match_no_change,725,cost_center,,,,
match_no_change,726,cost_center,,,,
match_no_change,727,cost_center,,,,
match_no_change,728,cost_center,,,,
match_no_change,729,cost_center,,,,
match_no_change,730,cost_center,,,,
