action,index,row
insert,273,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,274,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,275,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,276,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,277,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,278,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,279,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,280,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,281,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,282,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,283,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,284,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,285,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,286,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,287,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,288,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,289,"{'cost center': 'MU111S2001', 'country code': 'MU'}"
insert,401,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,402,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,403,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,404,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,405,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,406,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,407,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,408,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,409,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,410,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,411,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,412,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,413,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,414,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,415,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,416,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,417,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,418,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,419,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,420,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,421,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,422,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,423,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
insert,424,"{'cost center': 'TD111S0001', 'country code': 'TD'}"
