action,index,norm_cost,station_name,method,original,new
update,2187,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Eeufees', 'city': 'Mpumalanga', 'segmentation': 'S2', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'eeufees', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Eeufees', 'cost center': 'ZA111S0417', 'country code': 'ZA'}"
update,2188,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Ekandustria', 'city': 'Gauteng', 'segmentation': 'S2', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'ekandustria', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Kanduyi', 'cost center': 'KE111S0014', 'country code': 'KE'}"
update,2189,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Elandsfontien', 'city': 'Northwest ', 'segmentation': 'S1', 'management method': 'DODO', 'country code': 'ZA', 'norm_name': 'elandsfontien', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Kafountine', 'cost center': 'SN111S3144', 'country code': 'SN'}"
update,2190,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Elardus Park', 'city': 'Guateng', 'segmentation': 'S3', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'elardus park', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Elspark', 'cost center': 'ZA111S0088', 'country code': 'ZA'}"
update,2191,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Eldoraigne', 'city': 'Gauteng', 'segmentation': 'S1', 'management method': 'DODO', 'country code': 'ZA', 'norm_name': 'eldoraigne', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Eldoret', 'cost center': 'KE111S0005', 'country code': 'KE'}"
update,2192,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Elite Auto', 'city': 'Western Cape', 'segmentation': 'S3', 'management method': 'DODO', 'country code': 'ZA', 'norm_name': 'elite auto', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Elite Auto', 'cost center': 'ZA111S0509', 'country code': 'ZA'}"
update,2193,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Eloff Street Auto Services', 'city': 'Gauteng', 'segmentation': 'Closed', 'management method': 'DODO', 'country code': 'ZA', 'norm_name': 'eloff street auto services', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Ferndale Auto Service', 'cost center': 'ZA111S0454', 'country code': 'ZA'}"
update,2194,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Elspark', 'city': 'Gauteng', 'segmentation': 'S2', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'elspark', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Elspark', 'cost center': 'ZA111S0088', 'country code': 'ZA'}"
update,2195,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Elukwatini', 'city': 'Mpumalanga', 'segmentation': 'S1', 'management method': 'DODO', 'country code': 'ZA', 'norm_name': 'elukwatini', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Elukwateni', 'cost center': 'ZA111S0385', 'country code': 'ZA'}"
update,2196,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Emric Motors', 'city': 'KwaZulu Natal', 'segmentation': 'S2', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'emric motors', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Emric Motors', 'cost center': 'ZA111S0105', 'country code': 'ZA'}"
update,2197,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Entrance', 'city': 'Guateng', 'segmentation': 'S2', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'entrance', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Entrance', 'cost center': 'ZA111S0434', 'country code': 'ZA'}"
update,2198,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Ermelo Toyota', 'city': 'Mpumalanga', 'segmentation': 'S1', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'ermelo toyota', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Ermelo Toyota', 'cost center': 'ZA111S0209', 'country code': 'ZA'}"
update,2199,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Esikhawini (L D Motors) ', 'city': 'KwaZulu Natal', 'segmentation': 'S3', 'management method': 'DODO', 'country code': 'ZA', 'norm_name': 'esikhawini l d motors', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Dekema Motors', 'cost center': 'ZA111S0086', 'country code': 'ZA'}"
update,2200,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Eskhaleni', 'city': 'KwaZulu Natal', 'segmentation': 'S1', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'eskhaleni', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Esikhaleni', 'cost center': 'ZA111S0956', 'country code': 'ZA'}"
update,2201,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Evander', 'city': 'Mpumalanga', 'segmentation': 'closed', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'evander', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Alexanders', 'cost center': 'ZA111S0677', 'country code': 'ZA'}"
update,2202,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Evaton', 'city': 'Gauteng', 'segmentation': 'S1', 'management method': 'DODO', 'country code': 'ZA', 'norm_name': 'evaton', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Renovation', 'cost center': 'SN111S3094', 'country code': 'SN'}"
update,2203,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Eversdal Motors', 'city': 'Western Cape', 'segmentation': 'S2', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'eversdal motors', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Eversdal Motors', 'cost center': 'ZA111S0510', 'country code': 'ZA'}"
update,2204,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Fairland', 'city': 'Gauteng', 'segmentation': 'S2', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'fairland', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Parklands', 'cost center': 'ZA111S0254', 'country code': 'ZA'}"
update,2205,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Fauna Park', 'city': 'Limpopo', 'segmentation': 'S1', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'fauna park', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Fauna Park', 'cost center': 'ZA111S0059', 'country code': 'ZA'}"
update,2206,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'FCM Middleburg', 'city': 'Mpumalanga', 'segmentation': 'S1', 'management method': 'DODO', 'country code': 'ZA', 'norm_name': 'fcm middleburg', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Fcm Middelburg', 'cost center': 'ZA111S0420', 'country code': 'ZA'}"
update,2207,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Fenskor Motors ', 'city': 'Northwest ', 'segmentation': 'S1', 'management method': 'DODO', 'country code': 'ZA', 'norm_name': 'fenskor motors', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Fenskor Motors ', 'cost center': 'ZA111S0483', 'country code': 'ZA'}"
update,2208,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Ferndale Auto', 'city': 'Gauteng', 'segmentation': 'S1', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'ferndale auto', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Ferndale Auto Service', 'cost center': 'ZA111S0454', 'country code': 'ZA'}"
update,2209,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Filcor Motors', 'city': 'Mpumalanga', 'segmentation': 'S1', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'filcor motors', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Filcor Motors', 'cost center': 'ZA111S0137', 'country code': 'ZA'}"
